"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Quintana Redonda","Soria","Castilla y León","-2.119460500963390","0"
"O Bolo","Ourense","Galicia","-20.434353405725599","0"
"Villanueva del Pardillo","Madrid","Comunidad de Madrid","5.983263598326360","0"
"Recuerda","Soria","Castilla y León","-37.000000000000000","0"
"La Roda de Andalucía","Sevilla","Andalucía","-1.745403770072140","0"
"La Vall de Bianya","Girona","Cataluña-Catalunya","3.908045977011489","0"
"Benahavís","Málaga","Andalucía","38.798798798798799","0"
"La Codosera","Badajoz","Extremadura","-9.770373705538050","0"
"Poboleda","Tarragona","Cataluña-Catalunya","-8.587257617728529","0"
"Quintanilla de Onsoña","Palencia","Castilla y León","-10.000000000000000","0"
"Castromonte","Valladolid","Castilla y León","-2.071005917159760","0"
"l'Alcúdia","València-Valencia","Comunitat Valenciana","5.010761945759790","0"
"Cogeces de Íscar","Valladolid","Castilla y León","-3.378378378378380","0"
"Besalú","Girona","Cataluña-Catalunya","4.916666666666670","0"
"Frailes","Jaén","Andalucía","-5.036407766990290","0"
"La Sentiu de Sió","Lleida","Cataluña-Catalunya","-4.710920770877940","0"
"Vallmoll","Tarragona","Cataluña-Catalunya","16.287425149700603","0"
"Villarluengo","Teruel","Aragón","-6.701030927835051","0"
"Borriana/Burriana","Castelló-Castellón","Comunitat Valenciana","2.780093723945610","0"
"Alboraia/Alboraya","València-Valencia","Comunitat Valenciana","9.417953504157479","0"
"Villacarrillo","Jaén","Andalucía","-6.743598990263250","0"
"Espadilla","Castelló-Castellón","Comunitat Valenciana","-6.250000000000000","0"
"Campillos-Paravientos","Cuenca","Castilla-La Mancha","-14.634146341463401","0"
"Fuente de Cantos","Badajoz","Extremadura","-7.277089164334270","0"
"La Bodera","Guadalajara","Castilla-La Mancha","-34.375000000000000","0"
"Olvan","Barcelona","Cataluña-Catalunya","1.598173515981730","0"
"Santiago de Calatrava","Jaén","Andalucía","-17.358490566037698","0"
"Santa Eulalia Bajera","La Rioja","La Rioja","5.405405405405411","0"
"Teresa de Cofrentes","València-Valencia","Comunitat Valenciana","-1.451612903225810","0"
"Pilar de la Horadada","Alacant-Alicante","Comunitat Valenciana","8.523253659440430","0"
"Castellfollit del Boix","Barcelona","Cataluña-Catalunya","7.710280373831781","0"
"Herrera de los Navarros","Zaragoza","Aragón","-11.150442477876100","0"
"Soto del Real","Madrid","Comunidad de Madrid","10.811129450601300","0"
"Fornalutx","Illes Balears","Illes Balears","1.846590909090910","0"
"Tavèrnoles","Barcelona","Cataluña-Catalunya","7.255520504731859","0"
"Peraltilla","Huesca","Aragón","9.223300970873790","0"
"Sant Jordi Desvalls","Girona","Cataluña-Catalunya","19.350282485875699","0"
"Torre-serona","Lleida","Cataluña-Catalunya","4.381443298969070","0"
"Tarazona de Guareña","Salamanca","Castilla y León","-21.839080459770098","0"
"Puigdàlber","Barcelona","Cataluña-Catalunya","7.330827067669169","0"
